Start_date,sessions
2019-01-02,105
2019-01-03,97
2019-01-04,58
2019-01-07,107
2019-01-08,107
2019-01-09,105
2019-01-10,103
2019-01-11,99
2019-01-14,111
2019-01-15,117
2019-01-16,107
2019-01-17,115
2019-01-18,73
2019-01-21,25
2019-01-22,106
2019-01-23,113
2019-01-24,110
2019-01-25,97
2019-01-28,98
2019-01-29,116
2019-01-30,105
2019-01-31,99
2019-02-01,86
2019-02-04,101
2019-02-05,111
2019-02-06,110
2019-02-07,117
2019-02-08,103
2019-02-11,98
2019-02-12,118
2019-02-13,105
2019-02-14,106
2019-02-15,62
2019-02-18,24
2019-02-19,102
2019-02-20,127
2019-02-21,110
2019-02-22,105
2019-02-25,113
2019-02-26,113
2019-02-27,120
2019-02-28,108
2019-03-01,67
2019-03-04,106
2019-03-05,102
2019-03-06,98
2019-03-07,112
2019-03-08,103
2019-03-11,106
2019-03-12,109
2019-03-13,107
2019-03-14,122
2019-03-15,62
2019-03-18,112
2019-03-19,107
2019-03-20,119
2019-03-21,99
2019-03-22,101
2019-03-25,108
2019-03-26,110
2019-03-27,115
2019-03-28,109
2019-03-29,73
2019-04-01,109
2019-04-02,119
2019-04-03,102
2019-04-04,107
2019-04-05,103
2019-04-08,122
2019-04-09,117
2019-04-10,125
2019-04-11,116
2019-04-12,70
2019-04-15,109
2019-04-16,116
2019-04-17,110
2019-04-18,116
2019-04-19,113
2019-04-22,124
2019-04-23,123
2019-04-24,115
2019-04-25,118
2019-04-26,69
2019-04-29,121
2019-04-30,128
2019-05-01,113
2019-05-02,111
2019-05-03,116
2019-05-06,121
2019-05-07,122
2019-05-08,116
2019-05-09,115
2019-05-10,71
2019-05-13,128
2019-05-14,109
2019-05-15,121
2019-05-16,120
2019-05-17,106
2019-05-20,111
2019-05-21,113
2019-05-22,118
2019-05-23,120
2019-05-24,68
2019-05-27,16
2019-05-28,109
2019-05-29,112
2019-05-30,109
2019-05-31,104
2019-06-03,115
2019-06-04,108
2019-06-05,106
2019-06-06,106
2019-06-07,55
2019-06-10,116
2019-06-11,121
2019-06-12,119
2019-06-13,114
2019-06-14,117
2019-06-17,72
2019-06-18,72
2019-06-19,65
2019-06-20,68
2019-06-21,36
2019-06-24,76
2019-06-25,67
2019-06-26,70
2019-06-27,76
2019-06-28,83
2019-07-01,100
2019-07-02,111
2019-07-03,60
2019-07-04,9
2019-07-05,15
2019-07-08,115
2019-07-09,106
2019-07-10,108
2019-07-11,105
2019-07-12,110
2019-07-15,120
2019-07-16,113
2019-07-17,114
2019-07-18,121
2019-07-19,58
2019-07-22,116
2019-07-23,111
2019-07-24,127
2019-07-25,116
2019-07-26,103
2019-07-29,107
2019-07-30,111
2019-07-31,110
2019-08-01,106
2019-08-02,64
2019-08-05,107
2019-08-06,113
2019-08-07,108
2019-08-08,123
2019-08-09,106
2019-08-12,114
2019-08-13,110
2019-08-14,123
2019-08-15,113
2019-08-16,61
2019-08-19,113
2019-08-20,110
2019-08-21,124
2019-08-22,122
2019-08-23,108
2019-08-26,107
2019-08-27,119
2019-08-28,124
2019-08-29,118
2019-08-30,59
2019-09-02,18
2019-09-03,118
2019-09-04,117
2019-09-05,118
2019-09-06,119
2019-09-09,120
2019-09-10,110
2019-09-11,114
2019-09-12,117
2019-09-13,73
2019-09-16,117
2019-09-17,111
2019-09-18,124
2019-09-19,117
2019-09-20,116
2019-09-23,124
2019-09-24,112
2019-09-25,111
2019-09-26,116
2019-09-27,69
2019-09-30,99
2019-10-01,119
2019-10-02,123
2019-10-03,120
2019-10-04,118
2019-10-07,117
2019-10-08,111
2019-10-09,114
2019-10-10,122
2019-10-11,58
2019-10-14,100
2019-10-15,110
2019-10-16,117
2019-10-17,114
2019-10-18,121
2019-10-21,113
2019-10-22,128
2019-10-23,126
2019-10-24,124
2019-10-25,74
2019-10-28,120
2019-10-29,129
2019-10-30,119
2019-10-31,108
2019-11-01,117
2019-11-04,126
2019-11-05,112
2019-11-06,113
2019-11-07,126
2019-11-08,73
2019-11-11,109
2019-11-12,117
2019-11-13,109
2019-11-14,116
2019-11-15,106
2019-11-18,123
2019-11-19,118
2019-11-20,119
2019-11-21,114
2019-11-22,78
