Start_date,sessions
2019-01-02,11
2019-01-03,23
2019-01-04,25
2019-01-07,21
2019-01-08,26
2019-01-09,30
2019-01-10,32
2019-01-11,25
2019-01-14,28
2019-01-15,39
2019-01-16,31
2019-01-17,29
2019-01-18,30
2019-01-21,12
2019-01-22,26
2019-01-23,26
2019-01-24,22
2019-01-25,36
2019-01-28,14
2019-01-29,31
2019-01-30,38
2019-01-31,39
2019-02-01,37
2019-02-04,26
2019-02-05,32
2019-02-06,15
2019-02-07,27
2019-02-08,40
2019-02-11,29
2019-02-12,29
2019-02-13,27
2019-02-14,36
2019-02-15,29
2019-02-18,12
2019-02-19,33
2019-02-20,29
2019-02-21,26
2019-02-22,23
2019-02-25,20
2019-02-26,26
2019-02-27,31
2019-02-28,31
2019-03-01,37
2019-03-04,24
2019-03-05,22
2019-03-06,29
2019-03-07,21
2019-03-08,26
2019-03-11,16
2019-03-12,22
2019-03-13,4
2019-03-14,16
2019-03-15,28
2019-03-18,26
2019-03-19,36
2019-03-20,31
2019-03-21,18
2019-03-22,35
2019-03-25,21
2019-03-26,23
2019-03-27,26
2019-03-28,10
2019-03-29,20
2019-04-01,20
2019-04-02,34
2019-04-03,25
2019-04-04,20
2019-04-05,29
2019-04-08,22
2019-04-09,25
2019-04-10,20
2019-04-11,19
2019-04-12,24
2019-04-15,23
2019-04-16,18
2019-04-17,31
2019-04-18,22
2019-04-19,26
2019-04-22,20
2019-04-23,28
2019-04-24,20
2019-04-25,23
2019-04-26,29
2019-04-29,21
2019-04-30,23
2019-05-01,26
2019-05-02,27
2019-05-03,24
2019-05-06,21
2019-05-07,27
2019-05-08,23
2019-05-09,24
2019-05-10,38
2019-05-13,25
2019-05-14,35
2019-05-15,38
2019-05-16,30
2019-05-17,34
2019-05-20,22
2019-05-21,33
2019-05-22,27
2019-05-23,30
2019-05-24,32
2019-05-27,17
2019-05-28,28
2019-05-29,22
2019-05-30,27
2019-05-31,26
2019-06-03,20
2019-06-04,28
2019-06-05,31
2019-06-06,27
2019-06-07,25
2019-06-10,21
2019-06-11,34
2019-06-12,24
2019-06-13,20
2019-06-14,27
2019-06-17,26
2019-06-18,23
2019-06-19,31
2019-06-20,29
2019-06-21,27
2019-06-24,28
2019-06-25,25
2019-06-26,32
2019-06-27,27
2019-06-28,28
2019-07-01,24
2019-07-02,23
2019-07-03,16
2019-07-04,9
2019-07-05,14
2019-07-08,26
2019-07-09,33
2019-07-10,33
2019-07-11,32
2019-07-12,32
2019-07-15,22
2019-07-16,24
2019-07-17,37
2019-07-18,28
2019-07-19,35
2019-07-22,32
2019-07-23,29
2019-07-24,31
2019-07-25,38
2019-07-26,23
2019-07-29,25
2019-07-30,34
2019-07-31,23
2019-08-01,31
2019-08-02,27
2019-08-05,23
2019-08-06,26
2019-08-07,32
2019-08-08,31
2019-08-09,30
2019-08-12,27
2019-08-13,23
2019-08-14,33
2019-08-15,38
2019-08-16,33
2019-08-19,23
2019-08-20,30
2019-08-21,42
2019-08-22,42
2019-08-23,35
2019-08-26,32
2019-08-27,34
2019-08-28,38
2019-08-29,34
2019-08-30,25
2019-09-02,24
2019-09-03,29
2019-09-04,30
2019-09-05,35
2019-09-06,33
2019-09-09,34
2019-09-10,22
2019-09-11,32
2019-09-12,34
2019-09-13,35
2019-09-16,24
2019-09-17,27
2019-09-18,32
2019-09-19,38
2019-09-20,36
2019-09-23,33
2019-09-24,18
2019-09-25,27
2019-09-26,35
2019-09-27,29
2019-09-30,21
2019-10-01,41
2019-10-02,29
2019-10-03,34
2019-10-04,30
2019-10-07,27
2019-10-08,24
2019-10-09,30
2019-10-10,23
2019-10-11,39
2019-10-14,28
2019-10-15,26
2019-10-16,24
2019-10-17,24
2019-10-18,30
2019-10-21,26
2019-10-22,23
2019-10-23,41
2019-10-24,27
2019-10-25,30
2019-10-28,23
2019-10-29,11
2019-10-30,22
2019-10-31,36
2019-11-01,42
2019-11-04,30
2019-11-05,33
2019-11-06,29
2019-11-07,32
2019-11-08,44
2019-11-11,12
2019-11-12,36
2019-11-13,34
2019-11-14,30
2019-11-15,34
2019-11-18,24
2019-11-19,26
2019-11-20,32
2019-11-21,28
2019-11-22,37
