Start_date,sessions
2017-01-02,685
2017-01-03,832
2017-01-04,834
2017-01-05,909
2017-01-06,795
2017-01-09,895
2017-01-10,757
2017-01-11,824
2017-01-12,823
2017-01-13,768
2017-01-16,780
2017-01-17,883
2017-01-18,956
2017-01-19,869
2017-01-20,880
2017-01-23,952
2017-01-24,872
2017-01-25,940
2017-01-26,937
2017-01-27,953
2017-01-30,896
2017-01-31,838
2017-02-01,880
2017-02-02,844
2017-02-03,830
2017-02-06,882
2017-02-07,962
2017-02-08,893
2017-02-09,946
2017-02-10,871
2017-02-13,819
2017-02-14,782
2017-02-15,815
2017-02-16,830
2017-02-17,752
2017-02-20,850
2017-02-21,802
2017-02-22,835
2017-02-23,844
2017-02-24,860
2017-02-27,851
2017-02-28,872
2017-03-01,920
2017-03-02,910
2017-03-03,823
2017-03-06,846
2017-03-07,776
2017-03-08,860
2017-03-09,894
2017-03-10,852
2017-03-13,848
2017-03-14,909
2017-03-15,886
2017-03-16,887
2017-03-17,805
2017-03-20,895
2017-03-21,914
2017-03-22,878
2017-03-23,915
2017-03-24,873
2017-03-27,849
2017-03-28,912
2017-03-29,842
2017-03-30,519
2017-03-31,231
2017-04-03,546
2017-04-04,506
2017-04-05,540
2017-04-06,549
2017-04-07,491
2017-04-10,475
2017-04-11,560
2017-04-12,547
2017-04-13,484
2017-04-14,403
2017-04-17,463
2017-04-18,620
2017-04-19,573
2017-04-20,557
2017-04-21,563
2017-04-24,599
2017-04-25,593
2017-04-26,678
2017-04-27,683
2017-04-28,631
2017-05-01,484
2017-05-02,606
2017-05-03,595
2017-05-04,604
2017-05-05,606
2017-05-08,594
2017-05-09,595
2017-05-10,669
2017-05-11,627
2017-05-12,592
2017-05-15,606
2017-05-16,660
2017-05-17,610
2017-05-18,656
2017-05-19,631
2017-05-22,598
2017-05-23,590
2017-05-24,651
2017-05-25,659
2017-05-26,625
2017-05-29,456
2017-05-30,594
2017-05-31,516
2017-06-01,538
2017-06-02,544
2017-06-05,591
2017-06-06,662
2017-06-07,671
2017-06-08,682
2017-06-09,641
2017-06-12,649
2017-06-13,635
2017-06-14,662
2017-06-15,682
2017-06-16,636
2017-06-19,677
2017-06-20,679
2017-06-21,677
2017-06-22,650
2017-06-23,637
2017-06-26,663
2017-06-27,674
2017-06-28,714
2017-06-29,710
2017-06-30,665
2017-07-03,940
2017-07-04,996
2017-07-05,1007
2017-07-06,999
2017-07-07,918
2017-07-10,980
2017-07-11,893
2017-07-12,1018
2017-07-13,940
2017-07-14,827
2017-07-17,881
2017-07-18,833
2017-07-19,910
2017-07-20,946
2017-07-21,811
2017-07-24,870
2017-07-25,826
2017-07-26,798
2017-07-27,799
2017-07-28,744
2017-07-31,859
2017-08-01,889
2017-08-02,792
2017-08-03,842
2017-08-04,785
2017-08-07,761
2017-08-08,829
2017-08-09,800
2017-08-10,861
2017-08-11,748
2017-08-14,824
2017-08-15,804
2017-08-16,837
2017-08-17,852
2017-08-18,691
2017-08-21,747
2017-08-22,797
2017-08-23,794
2017-08-24,880
2017-08-25,752
2017-08-28,743
2017-08-29,853
2017-08-30,874
2017-08-31,909
2017-09-01,899
2017-09-04,919
2017-09-05,968
2017-09-06,978
2017-09-07,983
2017-09-08,923
2017-09-11,1031
2017-09-12,1012
2017-09-13,1058
2017-09-14,1062
2017-09-15,995
2017-09-18,991
2017-09-19,1078
2017-09-20,848
2017-09-21,824
2017-09-22,798
2017-09-25,807
2017-09-26,793
2017-09-27,829
2017-09-28,832
2017-09-29,755
2017-10-02,972
2017-10-03,1056
2017-10-04,1013
2017-10-05,1063
2017-10-06,1053
2017-10-09,1039
2017-10-10,1076
2017-10-11,1010
2017-10-12,1039
2017-10-13,1018
2017-10-16,967
2017-10-17,1008
2017-10-18,1018
2017-10-19,1047
2017-10-20,919
2017-10-23,903
2017-10-24,943
2017-10-25,953
2017-10-26,927
2017-10-27,896
2017-10-30,981
2017-10-31,986
2017-11-01,977
2017-11-02,1061
2017-11-03,965
2017-11-06,1178
2017-11-07,1176
2017-11-08,1139
2017-11-09,1148
2017-11-10,1096
2017-11-13,1123
2017-11-14,1129
2017-11-15,1122
2017-11-16,1153
2017-11-17,1095
2017-11-20,1188
2017-11-21,1124
2017-11-22,1113
2017-11-23,1221
2017-11-24,1159
