Start_date,sessions
2018-03-05,167
2018-03-06,142
2018-03-13,157
2018-03-14,172
2018-03-15,161
2018-03-16,156
2018-03-19,157
2018-03-20,152
2018-03-21,178
2018-03-22,175
2018-03-23,157
2018-03-26,145
2018-03-27,147
2018-03-28,164
2018-03-29,169
2018-03-30,166
2018-04-04,131
2018-04-05,208
2018-04-06,156
2018-04-13,194
2018-04-16,214
2018-04-17,190
2018-04-18,207
2018-04-19,171
2018-04-20,193
2018-04-23,185
2018-04-24,181
2018-04-25,205
2018-04-26,190
2018-04-27,221
2018-04-30,176
2018-05-03,126
2018-05-04,105
2018-05-14,158
2018-05-15,168
2018-05-16,162
2018-05-17,184
2018-05-18,192
2018-05-21,154
2018-05-22,194
2018-05-23,196
2018-05-24,180
2018-05-25,181
2018-05-28,157
2018-05-29,182
2018-05-30,173
2018-05-31,161
2018-06-04,128
2018-06-05,170
2018-06-06,180
2018-06-07,181
2018-06-08,181
2018-06-11,180
2018-06-12,190
2018-06-13,203
2018-06-14,192
2018-06-15,183
2018-06-18,188
2018-06-19,184
2018-06-20,200
2018-06-21,186
2018-06-22,201
2018-06-25,164
2018-06-26,148
2018-06-27,176
2018-06-28,182
2018-06-29,179
2018-07-02,146
2018-07-03,291
2018-07-04,276
2018-07-05,343
2018-07-06,153
2018-07-09,137
2018-07-10,155
2018-07-11,165
2018-07-12,168
2018-07-13,179
2018-07-16,184
2018-07-17,174
2018-07-18,182
2018-07-19,184
2018-07-20,182
2018-07-23,180
2018-07-24,165
2018-07-25,185
2018-07-26,201
2018-07-27,192
2018-07-30,190
2018-07-31,186
2018-08-01,192
2018-08-02,180
2018-08-03,356
2018-08-06,182
2018-08-07,187
2018-08-08,210
2018-08-09,186
2018-08-10,224
2018-08-13,223
2018-08-14,209
2018-08-15,232
2018-08-16,201
2018-08-17,230
2018-08-20,213
2018-08-21,222
2018-08-22,224
2018-08-23,221
2018-08-24,262
