Start_date,sessions
2019-01-02,113
2019-01-03,121
2019-01-04,125
2019-01-07,115
2019-01-08,127
2019-01-09,139
2019-01-10,142
2019-01-11,159
2019-01-14,135
2019-01-15,134
2019-01-16,121
2019-01-17,151
2019-01-18,133
2019-01-21,110
2019-01-22,134
2019-01-23,148
2019-01-24,156
2019-01-25,155
2019-01-28,140
2019-01-29,139
2019-01-30,137
2019-01-31,143
2019-02-01,136
2019-02-04,147
2019-02-05,148
2019-02-06,158
2019-02-07,156
2019-02-08,148
2019-02-11,136
2019-02-12,142
2019-02-13,137
2019-02-14,161
2019-02-15,147
2019-02-18,95
2019-02-19,138
2019-02-20,152
2019-02-21,155
2019-02-22,151
2019-02-25,123
2019-02-26,136
2019-02-27,142
2019-02-28,144
2019-03-01,152
2019-03-04,127
2019-03-05,143
2019-03-06,143
2019-03-07,130
2019-03-08,151
2019-03-11,140
2019-03-12,132
2019-03-13,154
2019-03-14,148
2019-03-15,155
2019-03-18,128
2019-03-19,143
2019-03-20,134
2019-03-21,145
2019-03-22,136
2019-03-25,128
2019-03-26,144
2019-03-27,133
2019-03-28,155
2019-03-29,139
2019-04-01,114
2019-04-02,117
2019-04-03,125
2019-04-04,138
2019-04-05,120
2019-04-08,123
2019-04-09,133
2019-04-10,130
2019-04-11,141
2019-04-12,148
2019-04-15,122
2019-04-16,144
2019-04-17,160
2019-04-18,136
2019-04-19,135
2019-04-22,135
2019-04-23,140
2019-04-24,145
2019-04-25,135
2019-04-26,133
2019-04-29,156
2019-04-30,138
2019-05-01,131
2019-05-02,143
2019-05-03,150
2019-05-06,123
2019-05-07,124
2019-05-08,132
2019-05-09,133
2019-05-10,148
2019-05-13,135
2019-05-14,143
2019-05-15,154
2019-05-16,152
2019-05-17,152
2019-05-20,141
2019-05-21,151
2019-05-22,143
2019-05-23,161
2019-05-24,139
2019-05-27,50
2019-05-28,140
2019-05-29,148
2019-05-30,147
2019-05-31,152
2019-06-03,131
2019-06-04,136
2019-06-05,156
2019-06-06,162
2019-06-07,161
2019-06-10,140
2019-06-11,149
2019-06-12,147
2019-06-13,140
2019-06-14,141
2019-06-17,145
2019-06-18,119
2019-06-19,144
2019-06-20,152
2019-06-21,144
2019-06-24,146
2019-06-25,140
2019-06-26,137
2019-06-27,138
2019-06-28,138
2019-07-01,112
2019-07-02,127
2019-07-03,130
2019-07-04,39
2019-07-05,82
2019-07-08,123
2019-07-09,131
2019-07-10,141
2019-07-11,132
2019-07-12,160
2019-07-15,132
2019-07-16,145
2019-07-17,141
2019-07-18,141
2019-07-19,147
2019-07-22,123
2019-07-23,127
2019-07-24,152
2019-07-25,155
2019-07-26,145
2019-07-29,116
2019-07-30,135
2019-07-31,136
2019-08-01,146
2019-08-02,139
2019-08-05,117
2019-08-06,136
2019-08-07,160
2019-08-08,153
2019-08-09,132
2019-08-12,146
2019-08-13,143
2019-08-14,159
2019-08-15,175
2019-08-16,160
2019-08-19,142
2019-08-20,140
2019-08-21,162
2019-08-22,160
2019-08-23,161
2019-08-26,130
2019-08-27,143
2019-08-28,139
2019-08-29,115
2019-08-30,106
2019-09-02,71
2019-09-03,142
2019-09-04,147
2019-09-05,148
2019-09-06,162
2019-09-09,123
2019-09-10,137
2019-09-11,146
2019-09-12,146
2019-09-13,151
2019-09-16,134
2019-09-17,140
2019-09-18,133
2019-09-19,151
2019-09-20,158
2019-09-23,141
2019-09-24,145
2019-09-25,146
2019-09-26,148
2019-09-27,159
2019-09-30,140
2019-10-01,141
2019-10-02,156
2019-10-03,154
2019-10-04,158
2019-10-07,142
2019-10-08,140
2019-10-09,167
2019-10-10,144
2019-10-11,151
2019-10-14,121
2019-10-15,137
2019-10-16,154
2019-10-17,154
2019-10-18,151
2019-10-21,141
2019-10-22,141
2019-10-23,167
2019-10-24,150
2019-10-25,155
2019-10-28,148
2019-10-29,159
2019-10-30,153
2019-10-31,140
2019-11-01,153
2019-11-04,137
2019-11-05,147
2019-11-06,159
2019-11-07,157
2019-11-08,161
2019-11-11,120
2019-11-12,157
2019-11-13,146
2019-11-14,161
2019-11-15,169
2019-11-18,149
2019-11-19,139
2019-11-20,158
2019-11-21,171
2019-11-22,174
