Start_date,sessions
2017-04-03,100
2017-04-04,84
2017-04-05,98
2017-04-06,113
2017-04-07,130
2017-04-10,92
2017-04-11,97
2017-04-12,89
2017-04-13,90
2017-04-14,102
2017-04-17,94
2017-04-18,117
2017-04-19,114
2017-04-20,97
2017-04-21,133
2017-04-24,88
2017-04-25,97
2017-04-26,112
2017-04-27,95
2017-04-28,92
2017-05-01,89
2017-05-02,89
2017-05-03,82
2017-05-04,121
2017-05-05,102
2017-05-08,90
2017-05-09,104
2017-05-10,96
2017-05-11,105
2017-05-12,97
2017-05-15,107
2017-05-16,100
2017-05-17,114
2017-05-18,95
2017-05-19,119
2017-05-22,91
2017-05-23,92
2017-05-24,117
2017-05-25,103
2017-05-26,86
