Start_date,sessions
2018-01-02,55
2018-01-03,18
2018-01-04,54
2018-01-05,63
2018-01-08,62
2018-01-09,90
2018-01-10,86
2018-01-11,87
2018-01-12,71
2018-01-15,69
2018-01-16,51
2018-01-17,39
2018-01-18,44
2018-01-19,42
2018-01-22,54
2018-01-23,39
2018-01-24,61
2018-01-25,47
2018-01-26,50
2018-01-29,51
2018-01-30,45
2018-01-31,41
2018-02-01,42
2018-02-02,64
2018-02-05,52
2018-02-06,55
2018-02-07,54
2018-02-08,66
2018-02-09,70
2018-02-12,68
2018-02-13,53
2018-02-14,51
2018-02-15,52
2018-02-16,53
2018-02-19,50
2018-02-20,53
2018-02-21,52
2018-02-22,67
2018-02-23,66
2018-02-26,69
2018-02-27,61
2018-02-28,22
2018-03-01,56
2018-03-02,50
2018-03-05,57
2018-03-06,37
2018-03-07,50
2018-03-08,57
2018-03-09,89
2018-03-12,91
2018-03-13,46
2018-03-14,55
2018-03-15,59
2018-03-16,65
2018-03-19,70
2018-03-20,60
2018-03-21,50
2018-03-22,63
2018-03-23,57
2018-03-26,55
2018-03-27,57
2018-03-28,59
2018-03-29,73
2018-03-30,63
2018-04-02,45
2018-04-03,25
2018-04-04,70
2018-04-05,52
2018-04-06,54
2018-04-09,94
2018-04-10,75
2018-04-11,70
2018-04-12,86
2018-04-13,62
2018-04-16,52
2018-04-17,59
2018-04-18,55
2018-04-19,41
2018-04-20,60
2018-04-23,49
2018-04-24,49
2018-04-25,55
2018-04-26,52
2018-04-27,59
2018-04-30,48
2018-05-01,50
2018-05-02,57
2018-05-03,45
2018-05-04,54
2018-05-07,62
2018-05-08,64
2018-05-09,50
2018-05-10,92
2018-05-11,90
2018-05-14,54
2018-05-15,47
2018-05-16,59
2018-05-17,58
2018-05-18,64
2018-05-21,55
2018-05-22,53
2018-05-23,49
2018-05-24,59
2018-05-25,54
2018-05-28,64
2018-05-29,56
2018-05-30,48
2018-05-31,58
2018-06-01,45
2018-06-04,53
2018-06-05,39
2018-06-06,54
2018-06-07,60
2018-06-08,69
2018-06-11,77
2018-06-12,95
2018-06-13,54
2018-06-14,45
2018-06-15,80
2018-06-18,57
2018-06-19,64
2018-06-20,59
2018-06-21,50
2018-06-22,64
2018-06-25,59
2018-06-26,55
2018-06-27,70
2018-06-28,55
2018-06-29,52
2018-07-02,58
2018-07-03,64
2018-07-04,62
2018-07-05,54
2018-07-06,71
2018-07-09,74
2018-07-10,63
2018-07-11,68
2018-07-12,100
2018-07-13,52
2018-07-16,60
2018-07-17,46
2018-07-18,48
2018-07-19,69
2018-07-20,66
2018-07-23,73
2018-07-24,66
2018-07-25,60
2018-07-26,71
2018-07-27,66
2018-07-30,51
2018-07-31,46
2018-08-01,51
2018-08-02,67
2018-08-03,61
2018-08-06,65
2018-08-07,41
2018-08-08,69
2018-08-09,63
2018-08-10,61
2018-08-13,75
2018-08-14,69
2018-08-15,73
2018-08-16,67
2018-08-17,83
2018-08-20,75
2018-08-21,58
2018-08-22,76
2018-08-23,72
2018-08-24,80
2018-08-27,72
2018-08-28,75
2018-08-29,63
2018-08-30,79
2018-08-31,89
2018-09-03,47
2018-09-04,57
2018-09-05,58
2018-09-06,55
2018-09-07,50
2018-09-10,81
2018-09-11,97
2018-09-12,70
2018-09-13,95
2018-09-14,87
2018-09-17,77
2018-09-18,87
2018-09-19,86
2018-09-20,97
2018-09-21,79
2018-09-24,74
2018-09-25,75
2018-09-26,67
2018-09-27,81
2018-09-28,93
2018-10-01,43
2018-10-02,48
2018-10-03,69
2018-10-04,45
2018-10-05,63
2018-10-08,65
2018-10-09,56
2018-10-10,71
2018-10-11,69
2018-10-12,91
2018-10-15,94
2018-10-16,94
2018-10-17,75
2018-10-18,78
2018-10-19,85
2018-10-22,90
2018-10-23,88
2018-10-24,82
2018-10-25,70
2018-10-26,107
2018-10-29,89
2018-10-30,85
2018-10-31,92
2018-11-01,49
2018-11-02,44
2018-11-05,51
2018-11-06,42
2018-11-07,66
2018-11-08,70
2018-11-09,75
2018-11-12,84
2018-11-13,78
2018-11-14,74
2018-11-15,85
2018-11-16,79
2018-11-19,105
2018-11-20,88
2018-11-21,99
2018-11-22,88
2018-11-23,90
