Start_date,sessions
2019-01-02,33
2019-01-03,21
2019-01-04,34
2019-01-07,44
2019-01-08,32
2019-01-09,32
2019-01-10,27
2019-01-11,55
2019-01-14,44
2019-01-15,30
2019-01-16,29
2019-01-17,32
2019-01-18,48
2019-01-21,45
2019-01-22,38
2019-01-23,40
2019-01-24,32
2019-01-25,53
2019-01-28,46
2019-01-29,34
2019-01-30,33
2019-01-31,41
2019-02-01,52
2019-02-04,44
2019-02-05,38
2019-02-06,35
2019-02-07,35
2019-02-08,55
2019-02-11,37
2019-02-12,28
2019-02-13,32
2019-02-14,24
2019-02-15,32
2019-02-18,41
2019-02-19,26
2019-02-20,28
2019-02-21,32
2019-02-22,37
2019-02-25,48
2019-02-26,34
2019-02-27,34
2019-02-28,45
2019-03-01,57
2019-03-04,43
2019-03-05,43
2019-03-06,45
2019-03-07,41
2019-03-08,63
2019-03-11,57
2019-03-12,39
2019-03-13,34
2019-03-14,40
2019-03-15,53
2019-03-18,51
2019-03-19,39
2019-03-20,33
2019-03-21,45
2019-03-22,67
2019-03-25,50
2019-03-26,41
2019-03-27,33
2019-03-28,36
2019-03-29,61
2019-04-01,48
2019-04-02,36
2019-04-03,29
2019-04-04,47
2019-04-05,73
2019-04-08,45
2019-04-09,52
2019-04-10,44
2019-04-11,43
2019-04-12,53
2019-04-15,38
2019-04-16,36
2019-04-17,30
2019-04-18,25
2019-04-19,59
2019-04-22,7
2019-04-23,55
2019-04-24,51
2019-04-25,50
2019-04-26,59
2019-04-29,58
2019-04-30,54
2019-05-01,4
2019-05-02,64
2019-05-03,75
2019-05-06,52
2019-05-07,53
2019-05-08,5
2019-05-09,53
2019-05-10,58
2019-05-13,48
2019-05-14,50
2019-05-15,42
2019-05-16,52
2019-05-17,68
2019-05-20,55
2019-05-21,39
2019-05-22,36
2019-05-23,51
2019-05-24,72
2019-05-27,54
2019-05-28,49
2019-05-29,71
2019-05-30,3
2019-05-31,30
2019-06-03,57
2019-06-04,68
2019-06-05,46
2019-06-06,32
2019-06-07,83
2019-06-10,60
2019-06-11,49
2019-06-12,45
2019-06-13,50
2019-06-14,68
2019-06-17,52
2019-06-18,49
2019-06-19,41
2019-06-20,43
2019-06-21,60
2019-06-24,61
2019-06-25,46
2019-06-26,46
2019-06-27,53
2019-06-28,70
2019-07-01,66
2019-07-02,50
2019-07-03,36
2019-07-04,48
2019-07-05,62
2019-07-08,52
2019-07-09,51
2019-07-10,41
2019-07-11,44
2019-07-12,60
2019-07-15,42
2019-07-16,45
2019-07-17,38
2019-07-18,44
2019-07-19,52
2019-07-22,42
2019-07-23,41
2019-07-24,33
2019-07-25,43
2019-07-26,56
2019-07-29,44
2019-07-30,31
2019-07-31,41
2019-08-01,31
2019-08-02,67
2019-08-05,35
2019-08-06,40
2019-08-07,45
2019-08-08,36
2019-08-09,54
2019-08-12,44
2019-08-13,42
2019-08-14,57
2019-08-15,2
2019-08-16,34
2019-08-19,54
2019-08-20,35
2019-08-21,25
2019-08-22,48
2019-08-23,50
2019-08-26,55
2019-08-27,52
2019-08-28,39
2019-08-29,46
2019-08-30,70
2019-09-02,58
2019-09-03,60
2019-09-04,46
2019-09-05,42
2019-09-06,66
2019-09-09,64
2019-09-10,53
2019-09-11,44
2019-09-12,53
2019-09-13,61
2019-09-16,65
2019-09-17,47
2019-09-18,39
2019-09-19,50
2019-09-20,60
2019-09-23,62
2019-09-24,56
2019-09-25,36
2019-09-26,46
2019-09-27,62
2019-09-30,62
2019-10-01,60
2019-10-02,36
2019-10-03,52
2019-10-04,59
2019-10-07,53
2019-10-08,52
2019-10-09,40
2019-10-10,50
2019-10-11,61
2019-10-14,58
2019-10-15,48
2019-10-16,41
2019-10-17,54
2019-10-18,77
2019-10-21,47
2019-10-22,45
2019-10-23,33
2019-10-24,36
2019-10-25,66
2019-10-28,47
2019-10-29,39
2019-10-30,37
2019-10-31,51
2019-11-01,3
2019-11-04,61
2019-11-05,53
2019-11-06,44
2019-11-07,56
2019-11-08,63
2019-11-11,5
2019-11-12,61
2019-11-13,50
2019-11-14,60
2019-11-15,76
2019-11-18,64
2019-11-19,57
2019-11-20,37
2019-11-21,60
2019-11-22,60
